Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11
353540,Presidente Prudente,40.44,31.72,49.17,34.75,30.63,38.88,0.44,0.4,0.48
353550,Assis,33.02,25.34,40.7,27.64,24.42,30.86,0.43,0.4,0.45
353560,Vale do Para›ba Paulista,23.55,18.3,28.8,27.4,24.22,30.58,0.41,0.38,0.44
353570,S“o Jos⁄ do Rio Preto,27.92,20.07,35.78,23.64,20.57,26.71,0.39,0.35,0.44
353580,Bauru,33.63,26.37,40.89,30.69,26.94,34.43,0.41,0.38,0.44
353590,S“o Jos⁄ do Rio Preto,38.88,28.68,49.09,34.27,29.39,39.15,0.41,0.36,0.46
353600,Presidente Prudente,26.48,18.97,33.98,23.44,20.2,26.68,0.42,0.38,0.45
353610,Bauru,23.15,16.4,29.89,23.12,20.25,25.98,0.38,0.35,0.42
353620,Litoral Sul Paulista,30,23.69,36.32,28.57,25.24,31.9,0.41,0.38,0.44
353625,S“o Jos⁄ do Rio Preto,15.34,6.43,24.26,12.66,10.07,15.25,0.33,0.28,0.38
353630,Ribeir“o Preto,24.8,18.47,31.12,22.18,19.46,24.9,0.4,0.37,0.43
353640,Presidente Prudente,43.63,34.89,52.36,41.25,35.81,46.7,0.42,0.36,0.47
353650,Campinas,14.76,9.62,19.91,10.93,9.5,12.35,0.39,0.37,0.41
353657,Bauru,30.44,21.31,39.57,27.84,23.89,31.79,0.37,0.31,0.43
353660,S“o Jos⁄ do Rio Preto,29.5,21.75,37.25,24.99,21.75,28.23,0.43,0.4,0.46
353670,Bauru,27.7,20.75,34.65,22.68,20.16,25.2,0.41,0.38,0.44
353680,Campinas,19.92,13.4,26.45,24.85,21.58,28.12,0.37,0.34,0.41
353690,S“o Jos⁄ do Rio Preto,22.38,14.32,30.44,21.5,18.29,24.71,0.37,0.32,0.42
353700,Ribeir“o Preto,28.38,22.12,34.64,25.64,22.75,28.54,0.39,0.36,0.42
353710,Campinas,17.26,11.74,22.77,13.23,11.68,14.78,0.39,0.36,0.41
353715,Assis,12.31,6.51,18.1,10.27,8.63,11.9,0.43,0.36,0.51
353720,Litoral Sul Paulista,41.68,33.99,49.38,40.63,35.75,45.51,0.43,0.39,0.47
353730,Ara˛atuba,19.92,14.05,25.78,16,14.1,17.9,0.45,0.43,0.48
353740,Ara˛atuba,34.98,26.61,43.36,29.52,25.69,33.35,0.45,0.41,0.49
353750,Itapetininga,20.17,14.49,25.85,18.65,16.14,21.16,0.41,0.38,0.44
353760,Litoral Sul Paulista,30.87,23.83,37.9,25.37,22.66,28.08,0.44,0.42,0.47
353770,Ara˛atuba,37.04,27.39,46.7,32.93,28.37,37.5,0.39,0.34,0.44
353780,Macro Metropolitana Paulista,24.25,19.21,29.29,26.27,23.24,29.29,0.39,0.37,0.42
353790,Macro Metropolitana Paulista,33.33,26.18,40.47,30.42,26.78,34.06,0.39,0.36,0.41
353800,Vale do Para›ba Paulista,21.03,16.66,25.4,16.86,15.33,18.38,0.41,0.39,0.43
353810,S“o Jos⁄ do Rio Preto,17.72,12.39,23.06,13.75,12.25,15.24,0.4,0.37,0.43
353820,Campinas,18.22,13.01,23.43,18.64,16.02,21.26,0.38,0.35,0.41
353830,Presidente Prudente,26.49,17.51,35.48,24.56,20.83,28.28,0.41,0.35,0.47
353850,Vale do Para›ba Paulista,27.44,19.08,35.79,22.58,19.5,25.65,0.38,0.34,0.41
353860,Macro Metropolitana Paulista,26.9,19.7,34.11,21.35,19.07,23.64,0.41,0.37,0.44
353870,Piracicaba,15.24,11.43,19.05,11.81,10.69,12.93,0.44,0.42,0.46
353880,Assis,22.35,16.82,27.88,19.14,17.07,21.2,0.42,0.39,0.44
353890,Bauru,18.59,12.83,24.36,15.22,13.31,17.13,0.41,0.38,0.44
353900,Ribeir“o Preto,17.73,11.73,23.73,14.19,12.38,16,0.42,0.38,0.45
353910,Metropolitana de S“o Paulo,67.84,60.45,75.23,37.04,33.19,40.88,0.4,0.37,0.42
353920,Presidente Prudente,29.24,21.75,36.72,24.01,21.21,26.82,0.43,0.4,0.46
353930,Campinas,13.81,10.07,17.56,11.19,10.05,12.33,0.42,0.4,0.44
353940,Bauru,22.3,16.53,28.07,19.42,17.14,21.7,0.44,0.41,0.48
353950,Ribeir“o Preto,37.6,29.81,45.4,31.57,28.02,35.11,0.42,0.4,0.45
353960,S“o Jos⁄ do Rio Preto,36.8,27.19,46.41,33.93,29.19,38.67,0.4,0.34,0.45
353970,Assis,50.37,39.8,60.95,47.81,41.16,54.47,0.38,0.32,0.44
353980,Metropolitana de S“o Paulo,47.21,39.28,55.15,19.75,17.57,21.93,0.39,0.37,0.4
353990,S“o Jos⁄ do Rio Preto,24.35,16.31,32.39,19.84,17,22.68,0.41,0.37,0.46
354000,Mar›lia,23.57,16.71,30.43,19.24,16.64,21.85,0.41,0.38,0.44
354010,Bauru,27.81,19.33,36.29,24.17,20.51,27.82,0.4,0.35,0.45
354020,Ribeir“o Preto,42.12,33.8,50.45,35.72,31.83,39.6,0.43,0.4,0.47
354025,S“o Jos⁄ do Rio Preto,47.4,37.31,57.49,43.32,37.67,48.97,0.37,0.32,0.43
354030,S“o Jos⁄ do Rio Preto,39.74,28.63,50.84,35.74,30.13,41.35,0.4,0.34,0.46
354040,S“o Jos⁄ do Rio Preto,33.93,25.32,42.54,30.41,26.25,34.56,0.4,0.36,0.44
354050,Itapetininga,17.93,12.1,23.75,18.33,15.45,21.2,0.37,0.34,0.4
354060,Macro Metropolitana Paulista,20.42,14.54,26.29,17.63,15.53,19.73,0.39,0.37,0.42
